post_id,post_message,titulo_facebook
71339054219_10152225907864220,"[FOTOS] ¡Sorprendente con estas imágenes!","Las increíbles transformaciones que se logran sólo con maquillaje"
71339054219_10153111077589220,"Un cuarto infantil con texturas brillantes Colores contrastados y tramas llamativas en el dormitorio de un chico de 9 años que impacta con su orden y sorprende por su originalidad [http://a.ln.com.ar/1KKpAzL]",NULL
71339054219_10153112421459220,"Siete actividades productivas para hacer antes de las 8 de la mañana","Guía para madrugadores"
71339054219_10153112881844220,"Objetos locos: bolsos y mochilas locas; mirá las fotos y contanos cuál usarías vos. [http://a.ln.com.ar/1N4pEKR]",NULL
71339054219_10153112883394220,"3 platos con huevo En estos platos es el verdadero protagonista. Animate a hacer estas variantes de recetas con huevos de codorniz o de gallina. [http://a.ln.com.ar/1KM4m4y]",NULL
71339054219_10153112885879220,"Un espacio de trabajo femenino y con un toque retro La joven diseñadora de zapatos artesanales Silvana Barrios Pereyra  creadora de la marca Quiero June  armó un taller a la medida de sus obras. [http://a.ln.com.ar/1SVVDyA]",NULL
71339054219_10153112889224220,"¡En agosto  inspirate y transformá tu hogar con el catálogo de Sodimac Homecenter  Miralo en: www.sodimac.com.ar/catalogo","Encontrá todo para renovar tu casa"
71339054219_10153112925549220,#FlashesDeportivos,"La caída del gordo ventilador y los mejores memes del fin de semana"
71339054219_10153112941669220,"LA NACION shared a link.","Los memes de la nueva patada y expulsión de Agustín Orion"
71339054219_10153113499369220,"LA NACION shared a link.","Los mejores memes sobre la ballena que apareció en Puerto Madero"
71339054219_10153114546394220,"#Humor | La foto que habla  por Nik",NULL
71339054219_10153114550404220,"#Humor | Tute  por Batu Tute",NULL
71339054219_10153114551394220,"#Humor | Humor Petiso  por Diego Parés",NULL
71339054219_10153114551849220,"#Humor | Macanudo  por Ricardo Siri Liniers",NULL
71339054219_10153114559909220,"#ConversacionesLN Mirá cómo el ministro de Economía explica el nivel actual de inflación. ¿Estás de acuerdo con su análisis?",NULL
71339054219_10153114885424220,"Colores vibrantes para un estilo femenino Un día como todos se vuelve especial si lo encendemos con tonos llamativos  prendas de corte impecable y la esencia arrolladora que toda mujer lleva dentro [http://a.ln.com.ar/1M2NO9Y]",NULL
71339054219_10153114889919220,"¿Cómo hacer para reinsertarte después de un despido? Buscar trabajo es un trabajo en sí mismo y por lo tanto requiere motivación  movimiento y planificación. Acá te damos algunos tips para que tengas en cuenta. [http://a.ln.com.ar/1MJZwYA]",NULL
71339054219_10153114993609220,"Sin palabras","El desgarrador llanto de un chico de 8 años que fue esposado por portarse mal"
71339054219_10153115206454220,"LA NACION shared a link.","Así quedó el edificio de Jorge Lanata tras la apedreada"
71339054219_10153115243454220,"Ernesto Sanz  precandidato de la UCR  minimiza los cruces dentro del frente electoral donde compite con el Pro y la CC y compara con el FPV [http://a.ln.com.ar/1KOngdR]",NULL
71339054219_10153115282469220,"LA NACION shared a link.","¿Qué pasa entre Mariano Martínez y Lali Espósito?"
71339054219_10153115401184220,"3 recetas con bondiola de cerdo para que pruebes en tu casa. ¿Qué receta recomendás vos? [http://a.ln.com.ar/1KOR2MK]",NULL
71339054219_10153115495469220,"LA NACION shared a link.","Candidatos buitre: el videojuego que lanzó la izquierda para combatir a Scioli, Macri y Massa"
71339054219_10153115577249220,"Para terminar el día con una sonrisa :)","¿El estornudo más gracioso de Internet?"
71339054219_10153115604249220,"#ConversacionesLN  ¿Estás de acuerdo con Manu Ginobili? [http://a.ln.com.ar/1IWojIo]",NULL
71339054219_10153115658039220,"LA NACION shared a link.","Los memes más divertidos sobre el "accidente íntimo" de Lenny Kravitz"
71339054219_10153115688869220,"LA NACION shared a link.","Irlanda: un minion gigante se derrumbó en medio de una autopista"
71339054219_10153115787674220,"LA NACION shared a link.","José Valencia difundió un video que complica a Independiente"
71339054219_10153115870184220,"Su rival pedía la pelota  se golpeó con su brazo y se tiró","La peor simulación de los últimos tiempos"
71339054219_10153115948734220,"LA NACION shared a link.","¿Qué te pareció la vuelta de Peter Capusotto y sus videos?"
71339054219_10153116004954220,"En junio de 1965 el equipo argentino de rugby realizó su primera gira internacional; los 19 sobrevivientes de aquella travesía volvieron al Elis Park","Cincuenta años después, los Pumas originales volvieron al lugar donde nació la leyenda"
71339054219_10153116434999220,"LA NACION shared a link.","Mirá cómo un aeropuerto es tragado por una tormenta de arena"
71339054219_10153116469339220,"Mirá el avance del primer trailer de Zoolander","¡Derek está de regreso!"
71339054219_10153116672964220,"#Humor | Tute  por Batu Tute",NULL
71339054219_10153116673394220,"#Humor | Humor Petiso  por Diego Parés",NULL
71339054219_10153116674049220,"#Humor | Macanudo  por Ricardo Siri Liniers",NULL
71339054219_10153116973374220,"#ConversacionesLN El ministro de Economía habló sobre la relación del gobierno con los holdouts. [http://a.ln.com.ar/1IH7Npb]",NULL
71339054219_10153116975739220,"#ConversacionesLN La primera dama bonaerense habló sobre Daniel Scioli  su pasado y su futuro político. [http://a.ln.com.ar/1IH7Tx6]",NULL
71339054219_10153117011694220,"#ConversacionesLN La esposa de Sergio Massa habló sobre cómo votaría en caso de un ballottage entre Daniel Scioli y Mauricio Macri. [http://a.ln.com.ar/1M4TCjl]",NULL
71339054219_10153117101249220,"¿Cómo equipar un cuarto de bebé? Consejos de un experto para que sepas qué y cómo comprar a la hora de proyectar el dormitorio de un recién nacido [http://a.ln.com.ar/1Na5wXH]",NULL
71339054219_10153117102719220,"Muebles para guardar de todo Son lindos y necesarios para mantener los espacios en orden. Elegimos ocho diseños que ofrecen buenos espacios de guardado sin perder de vista la estética. [http://a.ln.com.ar/1SOf2qv]",NULL
71339054219_10153117109059220,"Baúles y accesorios para scooters Si sos de la  onda motoquera   entonces no te pierdas estas opciones para manejar con onda y con seguridad por las calles de Buenos Aires. [http://a.ln.com.ar/1JM2QAI]",NULL
71339054219_10153117109739220,"Horóscopo para él; ¿qué le auguran los astros a tu pareja para este mes? No te olvides de compartírselo. [http://a.ln.com.ar/1P6rqN3]",NULL
71339054219_10153117154094220,"¿Qué hacía  El conejito  la última vez que River ganó la Copa?","Javier Saviola también estuvo en la final del '96 pero no como jugador"
71339054219_10153117205439220,"LA NACION shared a link.","Mirá el video de la huida de los “probables asesinos” de un periodista mexicano"
71339054219_10153117512719220,"LA NACION shared a link.","Estremecedor video sobre los efectos de la "marihuana sintética""
71339054219_10153117928294220,"¿Kirchner o Menem?  ¿Kämpfer con Boudou o Rial?","El picante ping-pong al que respondió Mauricio Macri"
71339054219_10153118071114220,"¿Qué opinás de esta puesta en escena?","Margarita Stolbizer le hizo un juicio simulado a Amado Boudou"
71339054219_10153118379414220,"LA NACION shared a link.","Conocé al mejor asistente de abordo del mundo"
71339054219_10153118677939220,"LA NACION shared a link.","Las polémicas de River-Tigres: el penal no cobrado y...¿era roja para Alario por un patadón?"
71339054219_10153118778244220,"LA NACION shared a link.","Para completar el álbum: las fotos y las tapas de LA NACIÓN de las Libertadores 1986 y 1996"
